Number of random numbers to generate: 50 
Random number 1: 0.3408 
Random number 2: -0.3197 
Random number 3: -0.1400 
Random number 4: -0.0701 
Random number 5: -0.4570 
Random number 6: 0.0350 
Random number 7: -0.4053 
Random number 8: -0.4788 
Random number 9: -0.3414 
Random number 10: -0.1386 
Random number 11: -0.0694 
Random number 12: 0.2875 
Random number 13: 0.3798 
Random number 14: 0.1986 
Random number 15: 0.0393 
Random number 16: 0.1913 
Random number 17: 0.3639 
Random number 18: 0.2560 
Random number 19: -0.0265 
Random number 20: 0.0281 
Random number 21: 0.3878 
Random number 22: -0.1707 
Random number 23: 0.4480 
Random number 24: -0.1550 
Random number 25: 0.4725 
Random number 26: 0.0786 
Random number 27: 0.0517 
Random number 28: -0.1941 
Random number 29: 0.0016 
Random number 30: -0.3982 
Random number 31: -0.3794 
Random number 32: -0.1576 
Random number 33: -0.2179 
Random number 34: -0.0194 
Random number 35: 0.2722 
Random number 36: -0.1750 
Random number 37: -0.4844 
Random number 38: 0.3670 
Random number 39: -0.1537 
Random number 40: -0.3258 
Random number 41: -0.2716 
Random number 42: 0.2769 
Random number 43: 0.4617 
Random number 44: -0.3918 
Random number 45: -0.0245 
Random number 46: 0.0010 
Random number 47: 0.2995 
Random number 48: -0.1606 
Random number 49: -0.2431 
Random number 50: -0.2269 
