50 
Random number 1: -0.2533 
Random number 2: 0.4527 
Random number 3: -0.1575 
Random number 4: 0.0247 
Random number 5: 0.4527 
Random number 6: 0.1295 
Random number 7: 0.3836 
Random number 8: 0.2303 
Random number 9: -0.0620 
Random number 10: 0.0449 
Random number 11: 0.4299 
Random number 12: -0.1943 
Random number 13: -0.3762 
Random number 14: -0.1995 
Random number 15: 0.0895 
Random number 16: -0.2396 
Random number 17: -0.4588 
Random number 18: 0.4684 
Random number 19: -0.2834 
Random number 20: -0.4417 
Random number 21: 0.2751 
Random number 22: -0.4043 
Random number 23: -0.3640 
Random number 24: -0.1437 
Random number 25: 0.2920 
Random number 26: 0.2995 
Random number 27: -0.1841 
Random number 28: 0.0336 
Random number 29: -0.1805 
Random number 30: 0.3442 
Random number 31: -0.0431 
Random number 32: 0.0663 
Random number 33: 0.2969 
Random number 34: 0.2995 
Random number 35: -0.4091 
Random number 36: 0.2496 
Random number 37: -0.0710 
Random number 38: 0.4745 
Random number 39: -0.0200 
Random number 40: 0.3670 
Random number 41: 0.0194 
Random number 42: -0.0901 
Random number 43: -0.3273 
Random number 44: 0.1432 
Random number 45: 0.2103 
Random number 46: 0.2622 
Random number 47: 0.4036 
Random number 48: 0.2515 
Random number 49: 0.2306 
Random number 50: -0.3798 
